3.1MB |#| F4RAN-188-114-97-55 |#| 188.114.97.55:443 |#| 1.0MB |#| 1006.9KB--- 31
2.6MB |#| F4RAN-190-93-244-218 |#| 190.93.244.218:443 |#| 2.4MB |#| 2.3MB--- 16
2.2MB |#| F4RAN-188-114-98-225 |#| 188.114.98.225:443 |#| 627.6KB |#| 582.2KB--- 5
1.8MB |#| F4RAN-173-245-58-18 |#| 173.245.58.18:443 |#| 1.1MB |#| 1.1MB--- 22
1.4MB |#| F4RAN-188-114-99-147 |#| 188.114.99.147:443 |#| 540.2KB |#| 526.0KB--- 15
1.3MB |#| F4RAN-173-245-58-71 |#| 173.245.58.71:443 |#| 985.6KB |#| 965.3KB--- 17
1.2MB |#| F4RAN-188-114-96-118 |#| 188.114.96.118:443 |#| 953.6KB |#| 906.5KB--- 9
1018.0KB |#| F4RAN-190-93-244-198 |#| 190.93.244.198:443 |#| 945.7KB |#| 942.0KB--- 20
1.0MB |#| F4RAN-188-114-96-188 |#| 188.114.96.188:443 |#| 1.0MB |#| 1012.8KB--- 4
1.0MB |#| F4RAN-188-114-99-106 |#| 188.114.99.106:443 |#| 1.0MB |#| 999.3KB--- 19
953.6KB |#| F4RAN-173-245-58-251 |#| 173.245.58.251:443 |#| 953.6KB |#| 951.7KB--- 25
906.8KB |#| F4RAN-173-245-58-255 |#| 173.245.58.255:443 |#| 102.6KB |#| 71.5KB--- 23
898.6KB |#| F4RAN-173-245-59-128 |#| 173.245.59.128:443 |#| 245.9KB |#| 153.9KB--- 1
754.9KB |#| F4RAN-188-114-97-57 |#| 188.114.97.57:443 |#| 754.9KB |#| 635.9KB--- 3
485.2KB |#| F4RAN-188-114-98-85 |#| 188.114.98.85:443 |#| 182.2KB |#| 80.6KB--- 29
445.4KB |#| F4RAN-173-245-59-28 |#| 173.245.59.28:443 |#| 142.5KB |#| 136.2KB--- 7
436.7KB |#| F4RAN-188-114-96-253 |#| 188.114.96.253:443 |#| 436.7KB |#| 434.6KB--- 30
405.5KB |#| F4RAN-188-114-96-216 |#| 188.114.96.216:443 |#| 142.5KB |#| 59.7KB--- 2
389.5KB |#| F4RAN-188-114-98-222 |#| 188.114.98.222:443 |#| 222.1KB |#| 134.4KB--- 28
333.3KB |#| F4RAN-188-114-96-185 |#| 188.114.96.185:443 |#| 333.3KB |#| 126.5KB--- 13
302.1KB |#| F4RAN-188-114-96-113 |#| 188.114.96.113:443 |#| 78.8KB |#| 36.3KB--- 24
293.5KB |#| F4RAN-190-93-244-200 |#| 190.93.244.200:443 |#| 293.5KB |#| 81.9KB--- 0
182.2KB |#| F4RAN-188-114-97-222 |#| 188.114.97.222:443 |#| 182.2KB |#| 92.0KB--- 10
174.9KB |#| F4RAN-188-114-97-245 |#| 188.114.97.245:443 |#| 158.5KB |#| 101.1KB--- 18
158.5KB |#| F4RAN-173-245-59-47 |#| 173.245.59.47:443 |#| 158.5KB |#| 78.5KB--- 21
111.2KB |#| F4RAN-190-93-246-48 |#| 190.93.246.48:443 |#| 94.8KB |#| 27.1KB--- 11
94.8KB |#| F4RAN-173-245-58-17 |#| 173.245.58.17:443 |#| 94.8KB |#| 75.5KB--- 6
94.8KB |#| F4RAN-173-245-59-38 |#| 173.245.59.38:443 |#| 94.8KB |#| 19.2KB--- 32
63.2KB |#| F4RAN-190-93-247-149 |#| 190.93.247.149:443 |#| 31.7KB |#| 7.1KB--- 12
51.6KB |#| F4RAN-188-114-96-111 |#| 188.114.96.111:443 |#| 51.0KB |#| 48.2KB--- 14
35.0KB |#| F4RAN-188-114-96-190 |#| 188.114.96.190:443 |#| 35.0KB |#| 7.0KB--- 8
31.7KB |#| F4RAN-173-245-49-86 |#| 173.245.49.86:443 |#| 31.7KB |#| 8.0KB--- 27
