8.2MB |#| F4RAN-173-245-59-38 |#| 173.245.59.38:443 |#| 2.1MB |#| 2.1MB--- 32
2.5MB |#| F4RAN-188-114-99-106 |#| 188.114.99.106:443 |#| 2.3MB |#| 2.3MB--- 19
1.3MB |#| F4RAN-188-114-96-190 |#| 188.114.96.190:443 |#| 993.4KB |#| 982.5KB--- 8
1.2MB |#| F4RAN-188-114-96-118 |#| 188.114.96.118:443 |#| 1.1MB |#| 1.1MB--- 9
1.2MB |#| F4RAN-173-245-58-17 |#| 173.245.58.17:443 |#| 1.2MB |#| 1.1MB--- 6
1.2MB |#| F4RAN-188-114-97-222 |#| 188.114.97.222:443 |#| 1.0MB |#| 1.0MB--- 10
1.2MB |#| F4RAN-188-114-96-113 |#| 188.114.96.113:443 |#| 1.0MB |#| 1017.7KB--- 24
1.1MB |#| F4RAN-173-245-59-28 |#| 173.245.59.28:443 |#| 245.9KB |#| 171.9KB--- 7
1.1MB |#| F4RAN-173-245-58-18 |#| 173.245.58.18:443 |#| 985.6KB |#| 939.6KB--- 22
1002.0KB |#| F4RAN-188-114-98-225 |#| 188.114.98.225:443 |#| 94.8KB |#| 72.8KB--- 5
1.0MB |#| F4RAN-190-93-244-218 |#| 190.93.244.218:443 |#| 548.0KB |#| 472.0KB--- 16
1.0MB |#| F4RAN-188-114-97-55 |#| 188.114.97.55:443 |#| 253.7KB |#| 239.6KB--- 31
914.6KB |#| F4RAN-188-114-96-188 |#| 188.114.96.188:443 |#| 293.5KB |#| 292.6KB--- 4
914.5KB |#| F4RAN-173-245-58-255 |#| 173.245.58.255:443 |#| 222.1KB |#| 81.3KB--- 23
890.8KB |#| F4RAN-188-114-96-111 |#| 188.114.96.111:443 |#| 715.1KB |#| 712.2KB--- 14
763.5KB |#| F4RAN-190-93-244-200 |#| 190.93.244.200:443 |#| 373.1KB |#| 335.8KB--- 0
754.9KB |#| F4RAN-173-245-58-251 |#| 173.245.58.251:443 |#| 754.9KB |#| 650.2KB--- 25
636.2KB |#| F4RAN-188-114-99-147 |#| 188.114.99.147:443 |#| 587.8KB |#| 525.8KB--- 15
612.5KB |#| F4RAN-190-93-244-198 |#| 190.93.244.198:443 |#| 500.4KB |#| 453.6KB--- 20
611.6KB |#| F4RAN-188-114-96-216 |#| 188.114.96.216:443 |#| 611.6KB |#| 557.0KB--- 2
572.6KB |#| F4RAN-190-93-247-149 |#| 190.93.247.149:443 |#| 285.7KB |#| 193.4KB--- 12
461.4KB |#| F4RAN-173-245-59-53 |#| 173.245.59.53:443 |#| 317.3KB |#| 301.1KB--- 26
389.5KB |#| F4RAN-188-114-97-57 |#| 188.114.97.57:443 |#| 94.8KB |#| 28.1KB--- 3
358.0KB |#| F4RAN-188-114-97-245 |#| 188.114.97.245:443 |#| 309.5KB |#| 300.8KB--- 18
229.9KB |#| F4RAN-188-114-96-185 |#| 188.114.96.185:443 |#| 229.9KB |#| 54.2KB--- 13
174.9KB |#| F4RAN-173-245-59-128 |#| 173.245.59.128:443 |#| 118.6KB |#| 94.1KB--- 1
143.2KB |#| F4RAN-188-114-98-85 |#| 188.114.98.85:443 |#| 78.8KB |#| 49.9KB--- 29
127.2KB |#| F4RAN-173-245-49-86 |#| 173.245.49.86:443 |#| 94.8KB |#| 59.2KB--- 27
111.2KB |#| F4RAN-173-245-59-47 |#| 173.245.59.47:443 |#| 94.8KB |#| 27.7KB--- 21
110.8KB |#| F4RAN-173-245-58-71 |#| 173.245.58.71:443 |#| 31.7KB |#| 10.6KB--- 17
62.8KB |#| F4RAN-190-93-246-48 |#| 190.93.246.48:443 |#| 62.8KB |#| 53.1KB--- 11
15.7KB |#| F4RAN-188-114-96-253 |#| 188.114.96.253:443 |#| 15.7KB |#| 3.6KB--- 30
15.7KB |#| F4RAN-188-114-98-222 |#| 188.114.98.222:443 |#| 15.7KB |#| 3.1KB--- 28
