13.4MB |#| F4RAN-103-21-244-65 |#| 103.21.244.65:443 |#| 500.4KB |#| 495.9KB--- 56
12.3MB |#| F4RAN-173-245-49-48 |#| 173.245.49.48:443 |#| 333.3KB |#| 286.4KB--- 55
11.2MB |#| F4RAN-188-114-97-145 |#| 188.114.97.145:443 |#| 118.6KB |#| 103.0KB--- 131
10.6MB |#| F4RAN-188-114-96-251 |#| 188.114.96.251:443 |#| 1009.4KB |#| 1001.3KB--- 52
9.6MB |#| F4RAN-173-245-49-250 |#| 173.245.49.250:443 |#| 269.7KB |#| 268.1KB--- 60
9.3MB |#| F4RAN-173-245-59-251 |#| 173.245.59.251:443 |#| 2.0MB |#| 2.0MB--- 80
9.2MB |#| F4RAN-190-93-245-155 |#| 190.93.245.155:443 |#| 651.5KB |#| 650.2KB--- 78
9.1MB |#| F4RAN-190-93-245-47 |#| 190.93.245.47:443 |#| 245.9KB |#| 232.2KB--- 88
8.9MB |#| F4RAN-188-114-98-224 |#| 188.114.98.224:443 |#| 1.6MB |#| 954.9KB--- 141
8.8MB |#| F4RAN-190-93-247-43 |#| 190.93.247.43:443 |#| 436.7KB |#| 434.6KB--- 103
8.8MB |#| F4RAN-173-245-58-77 |#| 173.245.58.77:443 |#| 2.0MB |#| 2.0MB--- 154
8.6MB |#| F4RAN-188-114-97-233 |#| 188.114.97.233:443 |#| 413.0KB |#| 413.0KB--- 77
8.1MB |#| F4RAN-173-245-49-249 |#| 173.245.49.249:443 |#| 229.9KB |#| 228.7KB--- 93
8.0MB |#| F4RAN-188-114-99-254 |#| 188.114.99.254:443 |#| 1.2MB |#| 1.2MB--- 36
8.0MB |#| F4RAN-190-93-244-73 |#| 190.93.244.73:443 |#| 229.9KB |#| 221.2KB--- 97
7.8MB |#| F4RAN-190-93-244-139 |#| 190.93.244.139:443 |#| 420.7KB |#| 325.6KB--- 82
7.7MB |#| F4RAN-190-93-245-199 |#| 190.93.245.199:443 |#| 1.5MB |#| 1.5MB--- 75
7.5MB |#| F4RAN-173-245-58-238 |#| 173.245.58.238:443 |#| 2.1MB |#| 2.1MB--- 139
7.4MB |#| F4RAN-188-114-96-225 |#| 188.114.96.225:443 |#| 269.7KB |#| 255.2KB--- 87
7.3MB |#| F4RAN-173-245-58-106 |#| 173.245.58.106:443 |#| 1.7MB |#| 1.7MB--- 151
7.2MB |#| F4RAN-188-114-97-241 |#| 188.114.97.241:443 |#| 166.2KB |#| 149.6KB--- 63
7.1MB |#| F4RAN-173-245-59-252 |#| 173.245.59.252:443 |#| 206.1KB |#| 173.5KB--- 64
6.9MB |#| F4RAN-173-245-59-26 |#| 173.245.59.26:443 |#| 222.1KB |#| 203.4KB--- 69
